id,section,subsection,title,page,kind,matchable,aliases,body
fa97dce6aba6,Traits,,Absolute Power,2,trait,True,,"If this model is your crew’s Boss, you can hire Henchmen with the Cop trait, regardless of their Affiliation. In addition, this model doubles the range of its Inspire rule."
064175029813,Traits,,Acrobat,2,trait,True,,"This model gains +1” to its basic move distance. It does not suffer Impaired Movement for Jumping, or for Stand Up actions. Models with Acrobat can use the Dodging rule."
311526109856,Traits,,Adaptable,2,trait,True,,"At the beginning of the Raise the Plan phase, the player controlling this model must choose between the Attack (+1), Defense (+1) or Movement (+2) basic skills. The model receives the bonus to the chosen skill until the end of the round."
b4eb98e1469b,Traits,,Addict,2,trait,True,,"This model suffers -1 to its Attacks and Defense skills unless it uses a Dose. As soon as the model uses a Dose, the penalties cease to apply until the end of the round."
df6854570fbc,Traits,,Affinity (Model),2,trait,True,Affinity,"This model may be recruited by any crew that also includes the model named in parentheses, even if they would not ordinarily be permitted to join that crew. This model may treat its rank as Free Agent for the purposes of forming the crew (but cannot use the Free agent rank during the game). Recruiting this model does not allow a further use of the trait (if, for example, another character has an Affinity to this model)."
370a8363da94,Traits,,Agent of Chaos,2,trait,True,,"When friendly models within 4” of this model activate, they may take an Audacity marker from a friendly model that is yet to activate."
5395b9168aa7,Traits,,Agent of Order,2,trait,True,,Friendly models within 4” cannot lose Actions because of an opponent’s rules.
c4ae4b6f0d0d,Traits,,Light Radiance,2,trait,True,,When this model uses the Medic trait it affects all friendly models within 2”.
851878352cfe,Traits,,Aggressive Schizophrenia (Mental Disorder),2,trait,True,Aggressive Schizophrenia,"If this model is in contact with another model (friend or foe) at the beginning of its activation, it gains an extra Attack action, which must immediately be performed against one model in contact. Once this attack is resolved, this model may continue its turn normally."
000e98d6bc56,Traits,,Agile,3,trait,True,,"This model can’t suffer Falling Damage. However, if the result of the Fall is to remove the model from the game, it is still made a Casualty."
2012a423da39,Traits,,Air Combat,3,trait,True,,"If this model uses the Batclaw trait or Falls during its activation, then for the remainder of the activation it gains a +1 bonus to its attack and Strength rolls, and triggers CRTs on a natural roll of 4+ when performing Melee Attacks."
5a64503df8a8,Traits,,Air Support,3,trait,True,,"Place the Explosive template anywhere on the board. During this round, the area under the template is under the effect of Lights."
34c59be1725a,Traits,,Amazon,3,trait,True,,"This model receives a +1 bonus to its attack and Defense rolls. In addition, enemy models roll 1 less attack die when targeting this model."
4f734fe4abcd,Traits,,Alpha,3,trait,True,,This model’s Attacks and Defense skills cannot be reduced below 4 by any means.
b93e792c6d06,Traits,,Always on the Move,3,trait,True,,"This model can interrupt its Movement action to perform an Attack action, and then continue with its Movement action. The model must have enough actions available to use this trait."
52f277ae8507,Traits,,Amazon Lineage,3,trait,True,,"If this model is your crew’s Boss, you can only recruit models with Affiliation:. TM TM"
22964b9f62dd,Traits,,Amazon Princess,3,trait,True,,"This model automatically gains the Charge trait. However, targets of this model’s Charge incur a -1 penalty to their Defense rolls. While this Upgrade Character Card is added to Wonder Woman, she cannot use the Bracelets of Submission trait or the Lasso of Hestia weapon, and does not benefit from the effects of her Magic Shield."
444d1acc75eb,Traits,,Amphibious,3,trait,True,,"This model does not suffer Impaired Movement when moving through Difficult Ground elements that are considered water (i. e. rivers, swamps, canals, ponds, etc.). Players should agree on what counts as a water feature before the game begins. In addition, this Model can enter a Sewer without performing a Manipulate action."
aa63faffc59c,Traits,,Anger Management (Mental disorder),3,trait,True,Anger Management,"When performing a Ranged Attack, this model must always select the closest model in line of sight, friend or enemy, as the target."
82461da3d1c5,Traits,,Animal,3,trait,True,,"This model gains a bonus of +2” to its basic move distance. When it moves, it can ignore obstacles up to 2” high, but cannot Climb or Jump. If this model suffers the Fire effect, during the Recount phase (before resolving the effect) make a Willpower roll (which cannot be rerolled). If this roll is failed, the model cannot move in the following round. This model cannot purchase equipment."
a8df3f7f7b41,Traits,,Anxiety (Mental Disorder),3,trait,True,Anxiety,"This model gains +2” to its basic move distance, but must perform a Movement action during its activation if the model can do it."
7739fb6780e4,Traits,,Archie,3,trait,True,,"This model is not deployed as normal at the start of the game. Once per game, at the start of the Raise the Plan phase of any round, you may place this model anywhere on the table (not inside a building or within a similarly enclosed space)."
cec149073dc1,Traits,,Arkham Asylum Doctor,3,trait,True,,All friendly models with a Mental Disorder trait within 4” of this model gain 1 extra Tactical Action.
71cbc9bf4c00,Traits,,Arrest,3,trait,True,,"When in contact with a KO enemy model (not a Vehicle), this model may immediately remove the KO model from the game as a Casualty."
b95a13f0b6a2,Traits,,Arrogant,3,trait,True,,"When this model performs an Attack against a model with a lower Reputation cost than its own, it rolls one less attack die."
c259f6cb45bb,Traits,,Arsenal,3,trait,True,,"After deployment, this model may equip up to one Hands equipment card, and one Back equipment card. These cards cannot be equipped in any other way, and cannot be cancelled by an opponen."
669d423ca05c,Traits,,Assassin X,3,trait,True,Assassin,"If this model removes an enemy model as a Casualty, you may pick 1 Objective card from the Spent Resource pile with a maximum Victory Points value of X, and then add that card to your hand."
570a2ec0b45b,Traits,,Assistance,4,trait,True,,"While a friendly Robin (Boy Wonder) is in play, this model gains +1 Willpower. If a friendly Robin (Boy Wonder) is removed as a Casualty, this model gains +1 Strength until the end of the game."
82fcc893199e,Traits,,Atomica,4,trait,True,,"When this model attacks an enemy model (not a Vehicle), the enemy model must pass a Willpower roll before any attack dice are rolled. If it fails, it suffers -1 Defense until the end of the round."
ae259d740234,Traits,,Attorney’s Allegation,4,trait,True,,One Use Only. All friendly Henchman within 8” gain 1 extra Action.
17e9ba871335,Traits,,Autorepair X,4,trait,True,Autorepair,"At the beginning of the Recount phase, this model rolls 1D6. On a result of X+ remove a Damage marker (any type) from this model."
30a943925e5c,Traits,,Aversion X,4,trait,True,Aversion,This model cannot be included in the same crew as the specified model.
7a868972ac87,Traits,,Backpack,4,trait,True,,This model can perform a Reveal Manipulate action once per activation without spending an Action.
34dc917d7810,Traits,,Bat-Armor Mk I,4,trait,True,,Enemy models don’t roll a Strength die when attacking this model.
156514811f78,Traits,,Bat-Armor Mk II,4,trait,True,,"This model ignores enemy Strength dice unless the roll is a natural 6. In addition, this model gains +1” to its basic move distance."
a074c9802fb3,Traits,,Bat-Armor Mk III,4,trait,True,,"Enemy models don’t roll a Strength die when attacking this model. In addition, if this model has moved this activation, it can make Melee Attacks against enemies up to 2” away in line of sight (ignore all traits that improve the model’s line of sight, such as Total Vision, for the purpose of these attacks)."
f25df3cf137b,Traits,,Bat Cape,4,trait,True,,"This model does not take Damage, nor can it be removed as a Casualty, as a result of Falling."
6f96392931e0,Traits,,Batclaw,4,trait,True,Grapple Gun | Grapple-gun,"Once per round, this model gains +6” to its basic move distance, and can move in any direction (including vertically). When using this ability, the model can move over obstacles and Difficult Ground without penalty. However, the model cannot use this rule in two consecutive activations. *Some models list this trait as ‘Grapple Gun’, and others as ‘Batclaw’. The rules are the same in both instances - the distinction is just for fun!"
77de1f786147,Traits,,Batman Lives,4,trait,True,,"This model may perform an extra Movement action at the start of its activation if no enemy models have LoS to it. When in contact with a KO enemy model that does not have Affiliation:, this model may remove it as a Casualty by spending a Special Action. In addition, when this model is included in your crew, you can also include a model with Name: William Cobb (ignoring its Affiliation), but if you do so you may not include any model with the Free Agent rank unless it also has Affiliation:."
7d63dd4a56d5,Traits,,Batman’s Tumbler,4,trait,True,,"This model can neither Jump nor Climb. When the Upgrade Card becomes disabled, you can immediately exchange this Upgrade Card with the Batman’s Batpod Upgrade card."
0efe174b1eaa,Traits,,Bat-Signal,4,trait,True,,"One use only. This model can use this trait to place a friendly model (not KO or Knocked Down) with Alias: Batman in contact with itself. Until the end of that round, this model is considered Illuminated."
77a045a14afc,Traits,,Bipolar (Mental Disorder),4,trait,True,Bipolar,"At the beginning of this model’s activation, roll a die or flip a coin. If the result is even/heads, this model may make 1 Effort this round without taking a [[B]] marker. If the result is odd/tails, this model suffers the Enervating 1 effect."
f64992a4f7e8,Traits,,Biting,4,trait,True,,"Enemies within 6” that wish to perform an Action must first suffer the Enervating 1 effect. If they already have Enervating, they must instead increase their Enervating value by 1."
ff099aecc87e,Traits,,Blood Scent,4,trait,True,,"When targeting a model with at least 1 [[A]] marker with an Attack, this model gains +1 to its attack dice rolls, +1 to the Strength roll, and gains the Bleed 1 effect."
f2ed60f74326,Traits,,Bloodthirsty (Mental Disorder),4,trait,True,Bloodthirsty,"During the Raise the Plan phase, if this model has at least 1 Damage marker of any kind, it gains +1 +."
f0fec53d6e6f,Traits,,Boosted Jump,5,trait,True,,"One use only. During this model activation, place this model within 8” of its start position."
337657ab8e90,Traits,,Bluff,5,trait,True,,"Choose an enemy model within 6” and line of sight. The target reduces its Attacks skill by 1 until the end of the round. If multiple models with this trait target the same model, the effect is not cumulative."
ad68a17554eb,Traits,,Bodyguard,5,trait,True,,"If a friendly model with the Leader or Sidekick rank within 4” of this model and LoS suffers any number of hits from an Attack (of any kind), this model may make an Effort to take the hits instead, and all the effects of that attack. Only one Effort [[B]] is required per enemy Attack."
e75e6ccbad7c,Traits,,Bonebreaker,5,trait,True,,"Until the end of the round, this model’s unarmed attacks gain Bleed: 2."
0129109ef748,Traits,,Boom!,5,trait,True,,"Each time this model receives any damage, roll a D6 – on the natural score of a 6, this model explodes! Alternatively, during its activation, you may choose to make this model explode. When the model explodes, center an Explosive template on it. Roll a Strength 3+ die against each model affected. On a success, the model suffers [[A]] [[A]] [[B]] Damage. After resolving the explosion, remove this model as a Casualty."
6e722f5c4084,Traits,,Born in the Darkness,5,trait,True,,"When this model is not within the area effect of a Light source, it gains a +1 bonus to its Defense rolls, and enemy models cannot benefit from the Sneak Attack trait when targeting this model."
abbb8c1d571c,Traits,,Boss’s Orders,5,trait,True,,All friendly Henchmen that attack an enemy model within 8” of this model gain +1 to their attack dice rolls in close combat until the end of the round.
369c96889c09,Traits,,Bot Bomb,5,trait,True,,"Choose one of your models with the Bot trait to explode. Center the Explosion template over the bot. Roll a Strength 4+ die against each model affected. On a success, the model suffers [[A]] [[A]] Damage. Once the trait is resolved, remove the Bot as a Casualty."
6c0da65af6dc,Traits,,Bot,5,trait,True,,"This model cannot recover from KO or recover Stun damage in the Recount phase. However, attacks with the Firearm, Mechanical and Beam rule deduct 1 attack die when rolling against this model. In addition, this model cannot use Doses of any kind, and is immune to the Enervating, Hypnotize, Poison, Scared and Terror effects."
b4e2af03fbb5,Traits,,Bot Mechanic,5,trait,True,,Target a model with the Bot trait within 4” and Line of Sight. Remove up to 3 Damage markers from that model.
e24df2701399,Traits,,Boy Wonder,5,trait,True,,Enemy models cannot reroll attack dice against this model granted by the Handy rule.
6c436d9b4b90,Traits,,Bracelets of submission,5,trait,True,,"The first time this model is selected as a target by an enemy ranged attack in each round, it reduces the attacker’s RoF by -1."
585ae4a02578,Traits,,Brutal,5,trait,True,,This model scores Critical results on a natural roll of 5 or 6.
519ade586155,Traits,,Bullet Time,5,trait,True,,"One use only. After activating this trait, if this model performs a Ranged Attack, it gains an extra Ranged Attack action. The model cannot use the same ranged weapon more than once. This model doesn’t lose attack dice this round for firing after moving."
e54199a2b153,Traits,,Bulletproof Vest,5,trait,True,,Traits and attacks with the Firearm rule deduct 1 attack die when rolling against this model.
2e327b2974ad,Traits,,Business Agent,5,trait,True,,"When this model is recruited, add $350 to the crew’s available Funding."
852621325364,Traits,,Canary Cry,5,trait,True,,Place the Spray template in base contact with this model – all models affected receive one automatic hit with the Sonic special rule. Affected models must pass a Willpower roll or take [[A]] Damage and become Stunned.
72424039a23d,Traits,,Cannibal,5,trait,True,,"When this model removes an enemy model (not a Vehicle) as a Casualty in Melee, remove up to 2 Damage markers (any type) from its character card."
6db04ce26d41,Traits,,Can you solve this? X,5,trait,True,Can you solve this?,"Once per round, this model may move up to 4” a suspect marker within 4” during its activation by rolling a +X result in a die roll."
021c112e87a1,Traits,,Carry,6,trait,True,,"If this model passes within 2” of one or more friendly models during a Movement Action, it may make an Effort and target one of those models and place it in base contact at the end of the move. The chosen model cannot have the Large or Huge traits. The target model suffers Impaired Movement during its next activation unless it is Damian Wayne. This model cannot use the Carry trait in two consecutive activations."
9f8bc3a96ae5,Traits,,Catcher Gear,6,trait,True,,Enemies attacking this model never benefit from the Heavy weapon special rule.
5c05854f85f8,Traits,,Chain of Command,6,trait,True,,"When its crew’s Boss becomes a Casualty, this model immediately becomes the new Boss, taking the. This model does not halve the range of the Inspire trait when taking over as Boss. If more than one model in the crew has this trait, or another trait with the same effect (such as Hidden Boss) the controlling player must choose between them."
a97ded23422a,Traits,,Chill Touch,6,trait,True,,Unarmed Melee Attacks made by this model deal [[A]] and gain CRT: Cooled.
429844933193,Traits,,Chaotic Friends,6,trait,True,,Friendly models with the Gotham City Siren trait in this model’s crew gain the Unpredictable rule until the end of the game.
fed29af57678,Traits,,Charge,6,trait,True,,"This trait must be activated before the model moves during its activation. During a Movement action this activation, this model may only move in a straight line. Roll 1 Strength die for each model contacted during this move, inflicting Damage [[B]] [[B]] . Any other damage the model could normally inflict is ignored."
232cfbd3b87b,Traits,,Charismatic,6,trait,True,,"A crew that includes this model can recruit 1 additional Free Agent, ignoring the usual restrictions."
248c685dff80,Traits,,Charm,6,trait,True,,"Whenever this model becomes the target of a Melee Attack, the attacker must pass a Willpower roll or the attack automatically fails."
ef3a04ae120f,Traits,,Chlorokinesis,6,trait,True,,"This model can be removed from one point inside of a Plant’s action zone, and placed at another point in the same action zone."
ab7ce1945918,Traits,,Claws,6,trait,True,,This model’s Unarmed attacks inflict Damage [[A]] [[B]] .
ccc6622a5f21,Traits,,Clay Body,6,trait,True,,"This model automatically gains the Charge trait. In addition, this model is immune to the Steal effect and gains -1 to its Endurance rolls. All ranged attacks against this model convert Injury markers [[A]] to Stun markers [[B]] , unless the attack had the Cold or Freeze effects. Conversely, when this model is targeted with an attack with the Electric special rule or Discharge effect, all Stun markers [[B]] are converted to Injury markers [[A]] . In addition, at the start of each of this model’s activations, it may exchange its attached Upgrade card for a different one."
3c65f86d0341,Traits,,Climbing Claws,6,trait,True,,"This model never suffers Impaired Movement when Climbing. In addition, the model may end its movement at any point on a climbable surface, such as on the side of a wall. Make the model’s end position clear to the opposing player if it is not possible to physically place the model there."
635a7ecfc370,Traits,,Cloak of Bats,6,trait,True,,"Enemy models can only see this model if it is in contact with them. This ability works even when the model is within the area of effect of a Light. However, the model is still subject to other rules that aid detection, such as Total Vision or Night Vision, etc. This model can be affected by templates, but cannot be targeted directly. Also, when an enemy model enters contact with this model, or this model enters contact with an enemy model, that model must take a Willpower roll: if the roll is failed, the model suffers the Scared effect."
4eda464b036c,Traits,,Close Combat Master,6,trait,True,,"When fighting Unarmed, this model may reroll failed attack dice in Melee."
f05e05d943aa,Traits,,Combat Flip,6,trait,True,,This ability may be used when the model is in contact with an enemy. Move this model up to 3”.
c6c8b3494878,Traits,,Combo: (Weapon),6,trait,True,Combo:,"For every two successful hits in its attack roll while using the specified weapon or trait (before the enemy rolls to defend), this model gains an additional hit."
c88a103a2e65,Traits,,Commissioner,6,trait,True,,Friendly models with the Arrest trait within 6” of this model can use that trait as an extra action.
a66f7a9f1e10,Traits,,Concealment,7,trait,True,,"Until the end of the round in which this ability is used, enemy models can only see this model if it is in contact with them. This ability works even when the model is within the area of effect of a Light. However, the model is still subject to other rules that aid detection, such as Total Vision or Superior Sense of Smell, etc. This model can be affected by templates, but cannot be targeted directly."
155198c2b949,Traits,,Confusion,7,trait,True,,"Target an enemy model (not a Vehicle) within 8” and line of sight. Perform an opposed Willpower roll against the target. If successful, reduce the target model’s Attack and Defense skills by 1. Also, the target cannot perform Special Actions. Both effects last until the end of the round."
4bdd5159ab9e,Traits,,Contractor,7,trait,True,,"This model may treat its rank as, but if it does so its Affiliation changes to. In addition, if this model is recruited as the Boss, all models in the crew with the Veteran trait also gain Assassin 2."
142bee784eb4,Traits,,Control Pheromones,7,trait,True,,Choose an enemy model (not a Vehicle) within 5” and line of sight. The target immediately suffers the Hypnotize effect.
e40b1fe31bde,Traits,,Cool Under Fire,7,trait,True,,"A crew that includes this model gains +1 Resource Point each round. Also, when a friendly model with the Veteran trait (not Bane himself) activates within 8”, remove one Effect from that model."
0eeddb8f5874,Traits,,Competitive,7,trait,True,,"This model gains +1 to Attack, Defense and Willpower while there is at least one other friendly model in play with this trait."
98b58b3bd9be,Traits,,Computer Intrusion,7,trait,True,,This model may choose up to 2 Suspect markers within 8” and move them up to 2”.
4ff8cb5ae4a9,Traits,,Cop,7,trait,True,,Keyword.
70e44f5771bd,Traits,,Corrupt,7,trait,True,,"If this model is included your crew, you can recruit up to 3 Henchmen with the Cop trait. Additional models in the crew with this trait have no further effect."
d278deb3f3c2,Traits,,Counter Attack,7,trait,True,,"When targeted by a Melee Attack, this model can make an Effort to activate this trait. For the remainder of the activation, when this model successfully defends against an enemy Melee Attack, this model gains one Counter Attack for every attack blocked. Once the enemy attack is resolved, assuming this model is not KO or a Casualty, each Counter Attack is converted into an automatic hit against the attacker, calculated as per this model’s preferred Melee Weapon. These Counter Attacks are resolved immediately, out of sequence. After resolving the Counter Attacks, play resumes as normal."
307cb0c50105,Traits,,Countermeasures,7,trait,True,,"This model gains one of the following bonuses at the start of each activation, until its next activation: gain the Stealth trait; gain the Night Vision trait; or ignore the Anti-tank rule."
f3b3ba85ef16,Traits,,Cooperative Fighting,7,trait,True,,"When targeting an enemy with a Melee Attack that is already in contact with another friendly model, this model inflicts 1 additional [[B]] for each hit that inflicts damage."
d47d1cc00acb,Traits,,Court of Owls Crew,7,trait,True,,This crew can only hire models with the Affiliation:.
910d543f38ec,Traits,,Coward’s Reward,7,trait,True,,"If this model it not KO when an enemy model moves out of contact from this model, that enemy suffers [[A]] ."
6bb17b4c20fc,Traits,,Criminal,7,trait,True,,Keyword.
6e427a2ec288,Traits,,Criminology,7,trait,True,,All enemy models within 12” of this model lose the benefit of the Runaway trait.
b4e0c476ce0a,Traits,,Critical Strike,7,trait,True,,"After activating this trait, any Melee Attacks performed by this model automatically treat the Strength die as scoring a natural 6. No die is rolled, but the success is counted."
69ca0ab2e141,Traits,,Cruel,7,trait,True,,Choose a KO enemy (not a Vehicle) in contact. That model is removed from play as a Casualty.
5d6b4933a219,Traits,,Cybernetic,7,trait,True,,"This model gains +1 to its Defense rolls, and can reroll Recovery rolls."
08f6d6ee8235,Traits,,Cyclops,8,trait,True,,This model’s ranged attacks gain the Imprecise rule when the target is more than 8” away.
51b84a313afd,Traits,,Daddy’s Girrrl,8,trait,True,,"If this model starts its activation within 6” of the Boss, its gains +1 +."
fdb7ac043873,Traits,,Deadliest Man on Earth,8,trait,True,,"The target of this model’s attacks cannot be changed (for example, by use of the Bodyguard trait)."
3d311b7d6397,Traits,,Deadly Strike,8,trait,True,,"Once this trait is activated, this model gains CRT: Casualty on its Melee Attack Actions for the rest of the round."
4dedcb66b86f,Traits,,Dealer,8,trait,True,,"During the Recount phase, if the opponent scores an Objective, you may take an Objective from behind your Plot card, and score it immediately, ignoring the usual rules."
990787f4f7f6,Traits,,Death Marks,8,trait,True,,"When this model inflicts a Casualty, it gains +2 or +2 or. + + 4"
aeb15ce15089,Traits,,Death or Exile,8,trait,True,,Target one KO model (not a Vehicle) within 8” and line of sight. The target model is removed as a Casualty.
ca575dec814f,Traits,,Death Pack,8,trait,True,,"If the target of this model’s Melee Attack is already in contact with one or more other friendly models with this trait, this model gains a +1 bonus to its attack dice rolls, and one extra attack die against that target."
a40912346bbc,Traits,,Defensive Stance,8,trait,True,,"This model ignores the penalties for being Outnumbered in combat, and chooses the direction when it is Pushed."
c71728291fe9,Traits,,Delirium,8,trait,True,,"In the Recount phase, this model does not recover [[B]] Damage, and cannot take rolls to Recover from KO."
d65bda497028,Traits,,Demon,8,trait,True,,"Enemy models roll 1 less attack die when targeting this model. In addition, this model never reduces its Effort Limit for accumulated Damage."
6d9691753453,Traits,,Demon Curse,8,trait,True,,"At the beginning of the Take the Lead phase, if there are no models in contact, roll 2D6 for this model and add the results together. For each friendly model removed as a Casualty in the game so far, add +2 to the result. On a result of 11+, place a friendly Etrigan model within 4” of this model, then remove this model from play."
8c8e7c4255b6,Traits,,Demoralize,8,trait,True,,All enemy Henchmen within 6” suffer the Enervating 1 effect.
baeea8302f0e,Traits,,Demotivate,8,trait,True,,Target a model within 8” and line of sight. That model must pass a Willpower roll or immediately suffer the Enervating 2 effect.
ea9daf6f702e,Traits,,Desensitized,8,trait,True,,"This model doesn’t suffer KO through accumulated [[B]] . Instead, once it has accumulated [[B]] equal to its Willpower, any additional [[B]] Damage automatically becomes [[A]] Damage instead."
747172a3bae6,Traits,,Detective,8,trait,True,,This model may place or reveal a Suspect marker within 3” and LoS instead of in contact.
2c232a279375,Traits,,Detective Mode,8,trait,True,,This model does not suffer the Blind effect and can see through Smoke.
ec27dcfd37eb,Traits,,Detonate,8,trait,True,,"Target a Suspect marker within 8”. Center an Explosive template on that marker. Roll a Strength 3+ die against each model affected. On a success, the model suffers [[A]] [[B]] . Remove the Suspect marker."
1c6a3f5ecd73,Traits,,Devastating Blow,8,trait,True,,"Once this trait is activated, this model gains a +1 Strength die roll bonus and Bleed 1 on its Melee Attack Actions until the end of the round."
86309172f56a,Traits,,Dimensional Portal,8,trait,True,,"Remove this model and place it up to 12” away. At a cost of a Movement Action (If it has one left to spend), this model may choose one friendly model within 2” before it is removed – the target model is also removed, and placed in contact with this model in its new position. After being placed, this model ends its activation. Any model that was placed with it counts as having moved during its activation, and its Basic Move Distance is 0 for the rest of the round. A model cannot use this trait in two consecutive activations."
b915ec3f17d9,Traits,,Direct Connection to the Speed Force,9,trait,True,,This model may reroll the Paradox roll.
9743e9a891e4,Traits,,Dirty Fighter,9,trait,True,,"This model can perform Ranged Attacks even if it is in contact with enemy models. If it uses a ranged weapon to target an enemy model in contact, it gains +1 to its attack dice rolls."
008bf989cb19,Traits,,Dirty Money,9,trait,True,,"If this model is the Boss, its crew has an extra $300 Funding."
442dde22ad13,Traits,,Disappearing,9,trait,True,,"Once per round, when this model becomes the target of an enemy attack, this model can move up to 4” before the attack is performed. If this means the enemy could no longer target this model, it can choose a different target."
220dbf9d7019,Traits,,Disarray,9,trait,True,,"Target an enemy model within 8” and Line of Sight. If that model has an Audacity marker, you can move the marker to another enemy model within 8” that has yet to activate, and does not already have an Audacity marker."
2a24b92562d2,Traits,,Discharge,9,trait,True,,"After activating this ability, the next ranged attack this model performs this round inflicts 1 additional [[A]] damage per hit and costs 1 additional Ammo."
1830396219f2,Traits,,Discourage,9,trait,True,,"Choose an enemy model (not a Vehicle) within 8” and line of sight. Perform an opposed Willpower roll against the target. If successful, the target model suffers -2 to its Willpower value when performing a Willpower roll until the end of the round."
36cfa2af7c74,Traits,,Disguised Sneak Attack,9,trait,True,,"Target a model within 2”. Perform an opposed Willpower roll against the target. If successful, the target cannot take Defense rolls or make Efforts against this model’s Attacks until the end of the round."
72410defa3d3,Traits,,Disruptor,9,trait,True,,Target one enemy model within 8” and line of sight. The target cannot use ranged weapons with the Firearm or Beam rule this round.
898333141e42,Traits,,Distort Magic,9,trait,True,,"Make an Effort to active this trait. When the trait is activated, choose any point on the tabletop within 4” of this model. Until the end of the round, this model can cast spells as though it was located at that point."
bad9e3c5e26f,Traits,,Distract,9,trait,True,,"Target one enemy model within 4” and line of sight. The target reduces its Defense skill by -1 until the end of the round. If multiple models with this trait target the same model, the effect is not cumulative."
